Day,Road,Type,F-road?,Surface,Notes
1,41 Reykjanesbraut,Paved main road / highway,No,Paved,Airport/Keflavík to Reykjavík.
1,Reykjavík urban roads / 49 where routed,Urban/arterial roads,No,Paved,City driving and exit toward Route 1.
1,1 Hringvegur / Ring Road,National main road,No,Paved,Toward Borgarnes; normally via Hvalfjörður tunnel.
1,54 Snæfellsnesvegur + 56 Vatnaleið + 54,Standard numbered roads,No,Mostly paved / check surface layer,Pass/weather exposure on 56; no F-road planned.
2,54 Snæfellsnesvegur,Standard numbered road,No,Paved / ordinary road,North side of Snæfellsnes.
2,574 Útnesvegur,Standard scenic coastal road,No,Ordinary road; possible narrow/gravel sections,Loops around Snæfellsjökull; avoids F570.
2,54 Snæfellsnesvegur,Standard numbered road,No,Paved / ordinary road,South/east return toward Borgarnes.
2,1 Hringvegur + 72 Hvammstangavegur,Main road + town access,No,Paved / standard,Route 72 into Hvammstangi.
3,72 Hvammstangavegur,Town/access road,No,Paved / standard,Out of Hvammstangi.
3,711 Vatnsnesvegur,Ordinary rural road,No,Known/likely gravel sections,"Slow down for gravel, animals, blind crests."
3,1 Hringvegur / Ring Road,National main road,No,Paved,Blönduós → Akureyri → Goðafoss → Mývatn.
3,Akureyri urban roads,Urban roads,No,Paved,Town stop only.
4,848 Mývatn local loop / access roads,Standard local road,No,Paved / standard,Mývatn sights.
4,1 Hringvegur / Ring Road,National main road,No,Paved,Main eastbound spine.
4,863 Krafla access,Access road,No,Standard access road,Not a highland F-road.
4,862 Dettifossvegur,Dettifoss access road,No,Standard road; check current condition,Use west side. Avoid 864 if conditions are poor.
4,93 Seyðisfjarðarvegur / Fjarðarheiði,Mountain pass road,No,Paved / standard but exposed,Can get snow/ice/wind; check road.is/umferdin.is.
5,93 Seyðisfjarðarvegur,Mountain pass road,No,Paved / exposed,Return to Egilsstaðir.
5,1 Hringvegur through Eastfjords,National main road,No,Paved / standard,Scenic fjord route; this plan avoids Road 939 Öxi shortcut.
5,Local Stokksnes/Vestrahorn access,Private/local access,No,Standard access; may be gravel/private fee,Only if open and permitted; return to Höfn.
6,1 Hringvegur / Ring Road,National main road,No,Paved,Main south-coast route.
6,998 Skaftafell access,National park/access road,No,Standard access road,Visitor centre access.
6,206 to Fjaðrárgljúfur,Ordinary access road at canyon,No to canyon car park,Standard/gravel possible,"Beyond this area, Lakagígar/Laki is F206 highland road — not part of this plan."
7,215 Reynisfjara access,Access road,No,Standard road,Beach access.
7,218 Dyrhólaey access,Access road,No,Standard/gravel possible,Viewpoint access; can close for weather/birds.
7,1 Hringvegur / Ring Road,National main road,No,Paved,South-coast waterfall corridor.
7,249 Seljalandsfoss access,Access road at falls,No at falls,Standard,Do not continue inland toward Þórsmörk/F249 river crossings.
7,35 Biskupstungnabraut toward Geysir,Golden Circle road,No for this section,Paved / standard,This plan stops at Geysir area.
8,35 Geysir/Gullfoss section,Golden Circle road,No on this section,Paved / standard,Do not continue into the highland 35/Kjölur route without checking conditions.
8,37 Laugarvatnsvegur + 365 Lyngdalsheiði where routed,Standard numbered roads,No,Paved/standard; verify surface and weather,Connects toward Þingvellir.
8,36 Þingvallavegur,National park / main access road,No,Paved / standard,Þingvellir to Reykjavík/Route 1.
8,1 Hringvegur + 41 Reykjanesbraut,Main road / highway,No,Paved,Return to Keflavík.
